Verticies,8,12,18,27,40,60,90,135,202,303,454
Ford-Fulkerson-Any,0.001000,0.002000,0.001000,0.001000,0.005000,0.013000,0.064000,0.396000,2.260000,9.122000,61.438000
Ford-Fulkerson-Keep,0.002000,0.001000,0.001000,0.002000,0.001000,0.005000,0.004000,0.011000,0.030000,0.064000,0.191000
Dinic,0.001000,0.001000,0.001000,0.002000,0.001000,0.002000,0.002000,0.005000,0.006000,0.017000,0.036000
