PModel,Task,OpType,Opt,InsCount,Timer,Time,LNum,AvTime,AbsErr,RelErr,TaskPerf
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,6.08e-08,5,7.42544e-08,1.34544e-08,0.181193,1.64474e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,7.923e-08,6,7.42544e-08,4.97563e-09,0.0670078,1.26215e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,6.625e-08,7,7.42544e-08,8.00437e-09,0.107797,1.50943e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,6.25e-08,8,7.42544e-08,1.17544e-08,0.158299,1.6e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,7.41e-08,9,7.42544e-08,1.54375e-10,0.002079,1.34953e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,8.304e-08,10,7.42544e-08,8.78563e-09,0.118318,1.20424e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,7.893e-08,11,7.42544e-08,4.67563e-09,0.0629677,1.26695e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,7.896e-08,12,7.42544e-08,4.70563e-09,0.0633717,1.26646e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,7.41e-08,13,7.42544e-08,1.54375e-10,0.002079,1.34953e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,7.855e-08,14,7.42544e-08,4.29563e-09,0.0578501,1.27307e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,8.289e-08,15,7.42544e-08,8.63563e-09,0.116298,1.20642e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,7.404e-08,16,7.42544e-08,2.14375e-10,0.00288704,1.35062e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,7.888e-08,17,7.42544e-08,4.62563e-09,0.0622943,1.26775e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,7.408e-08,18,7.42544e-08,1.74375e-10,0.00234835,1.34989e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,7.83e-08,19,7.42544e-08,4.04562e-09,0.0544833,1.27714e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,8.281e-08,20,7.42544e-08,8.55563e-09,0.11522,1.20758e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,7.366e-08,21,7.42544e-08,5.94375e-10,0.00800458,1.35759e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,8.261e-08,22,7.42544e-08,8.35563e-09,0.112527,1.21051e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,8.341e-08,23,7.42544e-08,9.15563e-09,0.123301,1.1989e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,7.415e-08,24,7.42544e-08,1.04375e-10,0.00140564,1.34862e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,7.412e-08,25,7.42544e-08,1.34375e-10,0.00180966,1.34916e+07
