MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError (write);RelError (write);ReadTime;AverageReadTime;ReadBandwidth;AbsError (read);RelError (read)
SSD;46137344;uint8_t;46137344;1;high_resolution_clock;0.0402902;0.0402902;1092.077;0;0;0.0090552;0.0090552;4859.0865;0;0
SSD;50331648;uint8_t;50331648;1;high_resolution_clock;0.09509;0.09509;504.78494;0;0;0.0094337;0.0094337;5088.1415;0;0
SSD;54525952;uint8_t;54525952;1;high_resolution_clock;0.0348052;0.0348052;1494.0296;0;0;0.0100425;0.0100425;5177.9935;0;0
SSD;58720256;uint8_t;58720256;1;high_resolution_clock;0.0414285;0.0414285;1351.7265;0;0;0.0114734;0.0114734;4880.8548;0;0
SSD;62914560;uint8_t;62914560;1;high_resolution_clock;0.040956;0.040956;1464.9868;0;0;0.0116902;0.0116902;5132.5041;0;0
SSD;67108864;uint8_t;67108864;1;high_resolution_clock;0.0503415;0.0503415;1271.3169;0;0;0.012278;0.012278;5212.5753;0;0
HDD;4194304;uint8_t;4194304;1;high_resolution_clock;0.0012448;0.0012448;3213.3676;0;0;0.0003983;0.0003983;10042.681;0;0
HDD;8388608;uint8_t;8388608;1;high_resolution_clock;0.0026015;0.0026015;3075.149;0;0;0.0013653;0.0013653;5859.5181;0;0
HDD;12582912;uint8_t;12582912;1;high_resolution_clock;0.0038469;0.0038469;3119.3948;0;0;0.002261;0.002261;5307.3861;0;0
HDD;16777216;uint8_t;16777216;1;high_resolution_clock;0.0051146;0.0051146;3128.2994;0;0;0.0030298;0.0030298;5280.8766;0;0
HDD;20971520;uint8_t;20971520;1;high_resolution_clock;0.0368626;0.0368626;542.55533;0;0;0.0039591;0.0039591;5051.6532;0;0
HDD;25165824;uint8_t;25165824;1;high_resolution_clock;0.0445935;0.0445935;538.19503;0;0;0.0045904;0.0045904;5228.3025;0;0
HDD;29360128;uint8_t;29360128;1;high_resolution_clock;0.0722652;0.0722652;387.46174;0;0;0.0055423;0.0055423;5052.0542;0;0
HDD;33554432;uint8_t;33554432;1;high_resolution_clock;0.099912;0.099912;320.28185;0;0;0.0063514;0.0063514;5038.2593;0;0
HDD;37748736;uint8_t;37748736;1;high_resolution_clock;0.1102632;0.1102632;326.49152;0;0;0.0070731;0.0070731;5089.7061;0;0
HDD;41943040;uint8_t;41943040;1;high_resolution_clock;0.1346035;0.1346035;297.16909;0;0;0.0075777;0.0075777;5278.6466;0;0
HDD;46137344;uint8_t;46137344;1;high_resolution_clock;0.1540611;0.1540611;285.60097;0;0;0.0083684;0.0083684;5257.8749;0;0
HDD;50331648;uint8_t;50331648;1;high_resolution_clock;0.1753257;0.1753257;273.77618;0;0;0.0093186;0.0093186;5150.9883;0;0
HDD;54525952;uint8_t;54525952;1;high_resolution_clock;0.2031822;0.2031822;255.92793;0;0;0.0098797;0.0098797;5263.3177;0;0
HDD;58720256;uint8_t;58720256;1;high_resolution_clock;0.2051915;0.2051915;272.91579;0;0;0.0106545;0.0106545;5255.9951;0;0
HDD;62914560;uint8_t;62914560;1;high_resolution_clock;0.2286547;0.2286547;262.4044;0;0;0.0115942;0.0115942;5175.0013;0;0
HDD;67108864;uint8_t;67108864;1;high_resolution_clock;0.2548294;0.2548294;251.14842;0;0;0.012228;0.012228;5233.8894;0;0
flash;4194304;uint8_t;4194304;1;high_resolution_clock;0.7355432;0.7355432;5.4381578;0;0;0.0013431;0.0013431;2978.1848;0;0
flash;8388608;uint8_t;8388608;1;high_resolution_clock;0.9188697;0.9188697;8.7063487;0;0;0.0020129;0.0020129;3974.3653;0;0
flash;12582912;uint8_t;12582912;1;high_resolution_clock;1.1571964;1.1571964;10.369891;0;0;0.0028537;0.0028537;4205.0671;0;0
flash;16777216;uint8_t;16777216;1;high_resolution_clock;1.3919819;1.3919819;11.494402;0;0;0.0038086;0.0038086;4201.0187;0;0
flash;20971520;uint8_t;20971520;1;high_resolution_clock;1.6889318;1.6889318;11.841804;0;0;0.0044145;0.0044145;4530.5244;0;0
flash;25165824;uint8_t;25165824;1;high_resolution_clock;1.929394;1.929394;12.439139;0;0;0.005221;0.005221;4596.8205;0;0
flash;29360128;uint8_t;29360128;1;high_resolution_clock;2.1741496;2.1741496;12.878599;0;0;0.0061608;0.0061608;4544.8643;0;0
flash;33554432;uint8_t;33554432;1;high_resolution_clock;2.4296732;2.4296732;13.170496;0;0;0.0067914;0.0067914;4711.8414;0;0
flash;37748736;uint8_t;37748736;1;high_resolution_clock;2.6663959;2.6663959;13.501371;0;0;0.0075031;0.0075031;4798.0168;0;0
flash;41943040;uint8_t;41943040;1;high_resolution_clock;2.9152711;2.9152711;13.720851;0;0;0.0082813;0.0082813;4830.1595;0;0
flash;46137344;uint8_t;46137344;1;high_resolution_clock;3.1558434;3.1558434;13.94239;0;0;0.0090264;0.0090264;4874.5901;0;0
flash;50331648;uint8_t;50331648;1;high_resolution_clock;3.3962443;3.3962443;14.133259;0;0;0.0100557;0.0100557;4773.4121;0;0
flash;54525952;uint8_t;54525952;1;high_resolution_clock;3.6314036;3.6314036;14.319532;0;0;0.010836;0.010836;4798.8188;0;0
flash;58720256;uint8_t;58720256;1;high_resolution_clock;3.8903139;3.8903139;14.394725;0;0;0.0112459;0.0112459;4979.5926;0;0
flash;62914560;uint8_t;62914560;1;high_resolution_clock;4.1111156;4.1111156;14.594579;0;0;0.0119844;0.0119844;5006.5085;0;0
flash;67108864;uint8_t;67108864;1;high_resolution_clock;4.344121;4.344121;14.732555;0;0;0.0123939;0.0123939;5163.8306;0;0
